ID,Condition,Sentence,Construction,Semantic_Role
1,T – T,"The photographer used the camera, and the reporter did too.",VP-ellipsis,Agent
1,T – AT,"The photographer used the camera, and the butcher did too.",VP-ellipsis,Agent
1,AT – T,"The grandfather used the camera, and the reporter did too.",VP-ellipsis,Agent
1,AT – AT,"The grandfather used the camera, and the butcher did too.",VP-ellipsis,Agent
1,T – SP violation,"The photographer used the camera, and the bike did too.",VP-ellipsis,Agent
2,T – T,"The engineer completed the project, but the student didn’t.",VP-ellipsis,Agent
2,T – AT,"The engineer completed the project, but the cyclist didn’t.",VP-ellipsis,Agent
2,AT – T,"The child completed the project, but the student didn’t.",VP-ellipsis,Agent
2,AT – AT,"The child completed the project, but the cyclist didn’t. ",VP-ellipsis,Agent
2,T – SP violation,"The engineer completed the project, but the ball didn’t.",VP-ellipsis,Agent
3,T – T,"The barber cuts the hair, and the hairdresser does too.",VP-ellipsis,Agent
3,T – AT,"The barber cuts the hair, and the butcher does too.",VP-ellipsis,Agent
3,AT – T,"The doctor cuts the hair, and the hairdresser does too. ",VP-ellipsis,Agent
3,AT – AT,"The doctor cuts the hair, and the butcher does too.",VP-ellipsis,Agent
3,T – SP violation,"The barber cuts the hair, and happiness does too.",VP-ellipsis,Agent
4,T – T,"The butcher used the knife, and the soldier did too.",VP-ellipsis,Agent
4,T – AT,"The butcher used the knife, and the teacher did too.",VP-ellipsis,Agent
4,AT – T,"The bricklayer used the knife, and the soldier did too.",VP-ellipsis,Agent
4,AT – AT,"The bricklayer used the knife, and the teacher did too.",VP-ellipsis,Agent
4,T – SP violation,"The butcher used the knife, and the dish did too.",VP-ellipsis,Agent
5,T – T,"The snowboarder flips the board, but the surfer doesn’t.",VP-ellipsis,Agent
5,T – AT,"The snowboarder flips the board, but the hairstylist doesn’t.",VP-ellipsis,Agent
5,AT – T,"The hydraulic flips the board, but the surfer doesn’t.",VP-ellipsis,Agent
5,AT – AT,"The hydraulic flips the board, but the hairstylist doesn’t.",VP-ellipsis,Agent
5,T – SP violation,"The snowboarder flips the board, but the phone doesn’t.",VP-ellipsis,Agent
6,T – T,"The comedian entertained the audience, and the speaker did too.",VP-ellipsis,Agent
6,T – AT,"The comedian entertained the audience, and the student did too.",VP-ellipsis,Agent
6,AT – T,"The doctor entertained the audience, and the speaker did too.",VP-ellipsis,Agent
6,AT – AT,"The doctor entertained the audience, and the student did too.",VP-ellipsis,Agent
6,T – SP violation,"The comedian entertained the audience, and the bottle did too.",VP-ellipsis,Agent
7,T – T,"The sculptor carved the stone, but the artist didn’t.",VP-ellipsis,Agent
7,T – AT,"The sculptor carved the stone, but the butcher didn’t.",VP-ellipsis,Agent
7,AT – T,"The therapist carved the stone, but the artist didn’t.",VP-ellipsis,Agent
7,AT – AT,"The therapist carved the stone, but the butcher didn’t.",VP-ellipsis,Agent
7,T – SP violation,"The sculptor carved the stone, but the sound didn’t.",VP-ellipsis,Agent
8,T – T,"The soldier wore a helmet, and so did the biker.",Do-x/ Do-so anaphora,Agent
8,T – AT,"The soldier wore a helmet, and so did the professor.",Do-x/ Do-so anaphora,Agent
8,AT – T,"The swimmer wore a helmet, and so did the biker.",Do-x/ Do-so anaphora,Agent
8,AT – AT,"The swimmer wore a helmet, and so did the professor.",Do-x/ Do-so anaphora,Agent
8,T – SP violation,"The soldier wore a helmet, and so did the tree.",Do-x/ Do-so anaphora,Agent
9,T – T,"The teacher helped the child, and the mother did the same thing.",Do-x/ Do-so anaphora,Agent
9,T – AT,"The teacher helped the child, and the cook did the same thing.",Do-x/ Do-so anaphora,Agent
9,AT – T,"The florist helped the child, and the mother did the same thing.",Do-x/ Do-so anaphora,Agent
9,AT – AT,"The florist helped the child, and the cook did the same thing. ",Do-x/ Do-so anaphora,Agent
9,T – SP violation,"The teacher helped the child, and the boat did the same thing.",Do-x/ Do-so anaphora,Agent
10,T – T,"The programmer uses the computer, and so does the student.",Do-x/ Do-so anaphora,Agent
10,T – AT,"The programmer uses the computer, and so does the farmer.",Do-x/ Do-so anaphora,Agent
10,AT – T,"The lumberjack uses the computer, and so does the student.",Do-x/ Do-so anaphora,Agent
10,AT – AT,"The lumberjack uses the computer, and so does the farmer.",Do-x/ Do-so anaphora,Agent
10,T – SP violation,"The programmer uses the computer, and so does the chair.",Do-x/ Do-so anaphora,Agent
11,T – T,"The spectator bought a ticket, and  the passenger did so too.",Do-x/ Do-so anaphora,Agent
11,T – AT,"The spectator bought a ticket, and the cook did so too.",Do-x/ Do-so anaphora,Agent
11,AT – T,"The housewife bought a ticket, and the passenger did so too.",Do-x/ Do-so anaphora,Agent
11,AT – AT,"The housewife bought a ticket, and the cook did so too.",Do-x/ Do-so anaphora,Agent
11,T – SP violation,"The spectator bought a ticket, and the turtle did so too.",Do-x/ Do-so anaphora,Agent
12,T – T,"The terrorist released the hostage, and the soldiers did the same thing.",Do-x/ Do-so anaphora,Agent
12,T – AT,"The terrorist released the hostage, and the artist did the same thing.",Do-x/ Do-so anaphora,Agent
12,AT – T,"The electrician released the hostage, and the soldiers did the same thing.",Do-x/ Do-so anaphora,Agent
12,AT – AT,"The electrician released the hostage, and the artist did the same thing.",Do-x/ Do-so anaphora,Agent
12,T – SP violation,"The terrorist released the hostage, and the jacket did the same thing.",Do-x/ Do-so anaphora,Agent
13,T – T,"The farmer plowed the field, and the man did so too.",Do-x/ Do-so anaphora,Agent
13,T – AT,"The farmer plowed the field, and the waiter did so too.",Do-x/ Do-so anaphora,Agent
13,AT – T,"The bartender plowed the field, and the man did so too.",Do-x/ Do-so anaphora,Agent
13,AT – AT,"The bartender plowed the field, and the waiter did so too.",Do-x/ Do-so anaphora,Agent
13,T – SP violation,"The farmer plowed the field, and the waiter did so too.",Do-x/ Do-so anaphora,Agent
14,T – T,"The carpenter grabbed the board, and so did the surfer.",Do-x/ Do-so anaphora,Agent
14,T – AT,"The carpenter grabbed the board, and so did the monkey.",Do-x/ Do-so anaphora,Agent
14,AT – T,"The dancer grabbed the board, and so did the surfer.",Do-x/ Do-so anaphora,Agent
14,AT – AT,"The dancer grabbed the board, and so did the monkey.",Do-x/ Do-so anaphora,Agent
14,T – SP violation,"The carpenter grabbed the board, and so did the coffee.",Do-x/ Do-so anaphora,Agent
15,T – T,"The pyromaniac starts the fire, and the pilot the race. ",Gapping,Agent
